TIMEOUT,INSTANCE,RESULT
65,J5089_4,45
65,J5089_4,45
65,J5090_1,54
65,J5090_1,54
65,J5090_1,54
65,J5090_1,54
65,J5090_1,54
80,J50107_4,50
80,J50107_4,50
80,J50107_4,50
80,J50107_4,50
80,J50107_4,50
80,J50103_2,
80,J50103_2,
80,J50103_2,
80,J50103_2,
80,J50103_2,
80,J5023_1,
80,J5023_1,
80,J5023_1,
80,J5023_1,
80,J5023_1,
80,J5028_1,25
80,J5028_1,25
80,J5028_1,25
80,J5028_1,25
80,J5028_1,25
80,J5036_2,19
80,J5036_2,19
80,J5036_2,19
80,J5036_2,19
80,J5036_2,19
80,J5039_3,27
80,J5039_3,27
80,J5039_3,27
80,J5039_3,27
80,J5039_3,27
80,J5059_2,22
80,J5059_2,22
80,J5059_2,22
80,J5059_2,22
80,J5059_2,22
80,J5076_1,
80,J5076_1,
80,J5076_1,
80,J5076_1,
80,J5076_1,
80,J5089_4,45
80,J5089_4,45
80,J5089_4,45
80,J5089_4,45
80,J5089_4,45
80,J5090_1,54
80,J5090_1,54
80,J5090_1,54
80,J5090_1,54
80,J5090_1,54
95,J50107_4,50
95,J50107_4,50
95,J50107_4,50
95,J50107_4,50
95,J50107_4,50
95,J50103_2,
95,J50103_2,
95,J50103_2,
95,J50103_2,
95,J50103_2,
95,J5023_1,
95,J5023_1,
95,J5023_1,
95,J5023_1,
95,J5023_1,
95,J5028_1,25
95,J5028_1,25
95,J5028_1,25
95,J5028_1,25
95,J5028_1,25
95,J5036_2,19
95,J5036_2,19
95,J5036_2,19
95,J5036_2,19
95,J5036_2,19
95,J5039_3,27
95,J5039_3,27
95,J5039_3,27
95,J5039_3,27
95,J5039_3,27
95,J5059_2,22
95,J5059_2,22
95,J5059_2,22
95,J5059_2,22
95,J5059_2,22
95,J5076_1,
95,J5076_1,
95,J5076_1,
95,J5076_1,
95,J5076_1,
95,J5089_4,45
95,J5089_4,45
95,J5089_4,45
95,J5089_4,45
95,J5089_4,45
95,J5090_1,54
95,J5090_1,54
95,J5090_1,54
95,J5090_1,54
95,J5090_1,54
110,J50107_4,50
110,J50107_4,50
110,J50107_4,50
110,J50107_4,50
110,J50107_4,50
110,J50103_2,
110,J50103_2,
110,J50103_2,
110,J50103_2,
110,J50103_2,
110,J5023_1,
110,J5023_1,
110,J5023_1,
110,J5023_1,
110,J5023_1,
110,J5028_1,25
110,J5028_1,25
110,J5028_1,25
110,J5028_1,25
110,J5028_1,25
110,J5036_2,19
110,J5036_2,19
110,J5036_2,19
110,J5036_2,19
110,J5036_2,19
110,J5039_3,27
110,J5039_3,27
110,J5039_3,27
110,J5039_3,27
110,J5039_3,27
110,J5059_2,22
110,J5059_2,22
