TIMEOUT,INSTANCE,RESULT
95,J5028_1,26
95,J5028_1,28
95,J5036_2,20
95,J5036_2,20
95,J5036_2,20
95,J5036_2,20
95,J5036_2,22
95,J5039_3,31
95,J5039_3,30
95,J5039_3,33
95,J5039_3,31
95,J5039_3,31
95,J5059_2,29
95,J5059_2,29
95,J5059_2,28
95,J5059_2,28
95,J5059_2,27
95,J5076_1,47
95,J5076_1,48
95,J5076_1,50
95,J5076_1,49
95,J5076_1,49
95,J5089_4,45
95,J5089_4,45
95,J5089_4,45
95,J5089_4,45
95,J5089_4,45
95,J5090_1,55
95,J5090_1,55
95,J5090_1,54
95,J5090_1,54
95,J5090_1,56
110,J50107_4,50
110,J50107_4,50
110,J50107_4,50
110,J50107_4,50
110,J50107_4,50
110,J50103_2,93
110,J50103_2,95
110,J50103_2,95
110,J50103_2,94
110,J50103_2,96
110,J5023_1,21
110,J5023_1,21
110,J5023_1,21
110,J5023_1,22
110,J5023_1,21
110,J5028_1,27
110,J5028_1,26
110,J5028_1,25
110,J5028_1,26
110,J5028_1,27
110,J5036_2,20
110,J5036_2,20
110,J5036_2,20
110,J5036_2,21
110,J5036_2,21
110,J5039_3,31
110,J5039_3,31
110,J5039_3,32
110,J5039_3,31
110,J5039_3,32
110,J5059_2,27
110,J5059_2,27
110,J5059_2,27
110,J5059_2,26
110,J5059_2,28
110,J5076_1,46
110,J5076_1,48
110,J5076_1,48
110,J5076_1,47
110,J5076_1,46
110,J5089_4,45
110,J5089_4,45
110,J5089_4,45
110,J5089_4,45
110,J5089_4,45
110,J5090_1,55
110,J5090_1,54
110,J5090_1,54
110,J5090_1,54
110,J5090_1,54
125,J50107_4,50
125,J50107_4,50
125,J50107_4,50
125,J50107_4,50
125,J50107_4,50
125,J50103_2,95
125,J50103_2,96
125,J50103_2,90
125,J50103_2,94
125,J50103_2,96
125,J5023_1,22
125,J5023_1,20
125,J5023_1,22
125,J5023_1,23
125,J5023_1,22
125,J5028_1,26
125,J5028_1,25
125,J5028_1,26
125,J5028_1,27
125,J5028_1,26
125,J5036_2,20
125,J5036_2,19
125,J5036_2,21
125,J5036_2,20
125,J5036_2,20
125,J5039_3,30
125,J5039_3,31
125,J5039_3,29
125,J5039_3,31
125,J5039_3,31
125,J5059_2,28
125,J5059_2,26
125,J5059_2,27
125,J5059_2,28
125,J5059_2,26
125,J5076_1,48
125,J5076_1,48
125,J5076_1,48
125,J5076_1,48
125,J5076_1,48
125,J5089_4,45
125,J5089_4,45
125,J5089_4,45
125,J5089_4,45
125,J5089_4,45
125,J5090_1,54
125,J5090_1,54
125,J5090_1,55
125,J5090_1,55
125,J5090_1,54
140,J50107_4,50
140,J50107_4,50
140,J50107_4,50
140,J50107_4,50
140,J50107_4,50
140,J50103_2,95
140,J50103_2,93
140,J50103_2,90
140,J50103_2,96
140,J50103_2,95
140,J5023_1,21
140,J5023_1,20
140,J5023_1,22
140,J5023_1,21
140,J5023_1,21
140,J5028_1,26
140,J5028_1,27
140,J5028_1,26
140,J5028_1,27
140,J5028_1,26
140,J5036_2,21
140,J5036_2,20
140,J5036_2,20
140,J5036_2,20
140,J5036_2,20
140,J5039_3,31
140,J5039_3,31
140,J5039_3,31
140,J5039_3,31
140,J5039_3,32
140,J5059_2,26
140,J5059_2,27
140,J5059_2,26
140,J5059_2,27
140,J5059_2,27
140,J5076_1,46
140,J5076_1,48
140,J5076_1,48
140,J5076_1,48
140,J5076_1,48
140,J5089_4,45
140,J5089_4,45
140,J5089_4,45
140,J5089_4,45
140,J5089_4,45
140,J5090_1,54
140,J5090_1,54
140,J5090_1,54
140,J5090_1,55
140,J5090_1,55
