INSTANCE,SIZE,SAM_TIME,SAM_RESULT,SR_TIME,HYBRID_TIME,HYBRID_SAM_RESULT,OPTIMAL,SR_UB
J50107_4,50,67.60,50,,78.15,50,50
J50107_4,50,68.21,50,,79.72,51,50
J50107_4,50,67.86,50,,79.55,50,50
J50107_4,50,68.09,50,,79.04,50,50
J50107_4,50,67.98,50,,79.41,50,50
J50107_4,50,70.51,50,,79.36,50,50
J50107_4,50,68.71,50,,78.83,50,50
J50107_4,50,68.52,51,,79.04,50,50
J50103_2,50,69.90,96,,,,
J50103_2,50,70.65,96,,,,
J50103_2,50,70.12,92,,,,
J50103_2,50,70.09,96,,,,
J50103_2,50,70.43,97,,,,
J50103_2,50,69.64,95,,,,
J50103_2,50,70.76,95,,,,
J50103_2,50,70.37,95,,,,
J50103_2,50,68.73,99,,,,
J50103_2,50,69.51,96,,,,
J5023_1,50,71.38,21,,116.51,21,17
J5023_1,50,70.96,22,,120.90,22,17
J5023_1,50,70.19,22,,115.97,21,17
J5023_1,50,70.56,22,,126.94,22,17
J5023_1,50,70.92,20,,124.88,22,17
J5023_1,50,70.40,23,,121.15,21,17
J5023_1,50,71.56,21,,120.90,21,17
J5023_1,50,71.60,22,,116.00,22,17
J5023_1,50,71.43,21,,118.73,21,17
J5023_1,50,71.56,22,,121.15,22,17
J5028_1,50,68.41,26,,81.40,27,25
J5028_1,50,68.61,27,,82.14,26,25
J5028_1,50,67.82,28,,90.31,26,25
J5028_1,50,68.15,26,,86.84,27,25
J5028_1,50,68.21,26,,83.81,27,25
J5028_1,50,70.08,26,,87.07,26,25
J5028_1,50,68.66,27,,87.82,26,25
J5028_1,50,69.88,26,,85.68,26,25
J5028_1,50,68.95,27,,90.71,26,25
J5028_1,50,69.73,26,,86.08,26,25
J5036_2,50,67.99,20,,87.63,20,19
J5036_2,50,68.72,20,,88.14,20,19
J5036_2,50,67.07,21,,84.42,20,19
J5036_2,50,68.57,20,,80.28,19,19
J5036_2,50,67.65,20,,78.98,19,19
J5036_2,50,68.54,21,,85.01,20,19
J5036_2,50,68.65,21,,83.30,21,19
J5036_2,50,69.62,20,,80.77,19,19
J5036_2,50,68.75,21,,81.84,20,19
J5036_2,50,68.35,20,,81.02,20,19
J5039_3,50,72.14,31,,86.67,31,27
J5039_3,50,73.26,31,,87.78,31,27
J5039_3,50,73.01,31,,85.69,31,27
J5039_3,50,71.96,32,,88.30,31,27
J5039_3,50,72.38,31,,88.36,31,27
J5039_3,50,73.25,32,,89.32,32,27
J5039_3,50,72.94,32,,85.76,30,27
J5039_3,50,74.49,31,,86.26,31,27
J5039_3,50,72.78,32,,90.39,31,27
J5039_3,50,72.66,31,,91.56,32,27
J5059_2,50,73.34,27,,86.68,27,22
J5059_2,50,71.65,27,,84.94,26,22
J5059_2,50,72.62,28,,85.06,27,22
J5059_2,50,70.88,28,,89.66,29,22
J5059_2,50,70.80,27,,85.96,27,22
J5059_2,50,72.08,27,,84.94,27,22
J5059_2,50,73.65,28,,86.15,27,22
J5059_2,50,71.37,28,,85.83,27,22
J5059_2,50,73.56,27,,87.80,27,22
J5059_2,50,72.52,28,,84.74,27,22
J5076_1,50,72.56,51,,,,
J5076_1,50,72.45,48,,,,
J5076_1,50,73.40,46,,,,
J5076_1,50,71.70,48,,,,
J5076_1,50,71.85,48,,,,
J5076_1,50,71.42,48,,,,
J5076_1,50,71.78,48,,,,
J5076_1,50,71.31,49,,,,
J5076_1,50,72.36,48,,,,
J5076_1,50,73.03,49,,,,
J5089_4,50,69.92,45,,96.79,45,45
J5089_4,50,68.80,45,,93.52,45,45
J5089_4,50,68.79,45,,94.84,46,45
J5089_4,50,69.21,45,,95.65,45,45
J5089_4,50,68.00,45,,94.37,45,45
J5089_4,50,69.61,45,,96.14,45,45
J5089_4,50,73.16,45,,95.03,45,45
J5089_4,50,71.76,45,,95.49,45,45
J5089_4,50,71.17,45,,95.37,45,45
J5089_4,50,72.28,45,,90.99,45,45
J5090_1,50,71.36,56,,93.60,54,54
J5090_1,50,71.85,55,,98.19,54,54
J5090_1,50,66.94,54,,102.04,55,54
J5090_1,50,68.23,54,,100.38,55,54
J5090_1,50,69.86,54,,99.01,54,54
J5090_1,50,67.41,54,,101.79,55,54
J5090_1,50,67.56,54,,101.27,54,54
J5090_1,50,68.22,54,,98.64,54,54
J5090_1,50,67.47,54,,100.05,54,54
J5090_1,50,70.10,54,,103.87,54,54
J10010_1,100,249.75,40,,,,
J10010_1,100,250.72,40,,,,
